Set,Set Theme,Within Set #,Frequency Rank,Original #,Japanese,Reading,Romaji Pronunciation,Meaning,Part of Speech,Verb Class,POS Subtype,Category,Bucket,Grammar Role / Notes,Frequency Count,Source Rank,Frequency % of Source,Frequency Source,Match Method,Lookup Term,POS / Fallback Note,wordfreq Zipf,Learned?,Notes,Vocab List Source,Classification Source,Why this set
3,School + Language + Work Basics,22,611,491,習う,ならう,narau,to learn,Verb,Godan (-u ending),Main verb,School/Work/Language,Core open list,Transitive,662,4470,0.0019423,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,習う,"v5u,vt",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: v5u,vt",School/language/work anchor
3,School + Language + Work Basics,23,177,535,働く,はたらく,hataraku,to work,Verb,Godan (-ku ending),Main verb,School/Work/Language,Core open list,Intransitive,10129,433,0.02971832,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,働く,"v5k,vi",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: v5k,vi",School/language/work anchor
3,School + Language + Work Basics,24,744,572,平仮名,ひらがな,hiragana,hiragana,Noun,,Common noun,School/Work/Language,Core open list,Noun-like word,120,15825,0.00035208,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: reading form,ひらがな,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,25,289,599,勉強,べんきょう (する),benkyou (suru),study,Noun,Can form する verb,Suru-verbal noun,School/Work/Language,Core open list,Can combine with する,4720,844,0.0138484,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,勉強,"n,vs",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,vs",School/language/work anchor
3,School + Language + Work Basics,26,747,612,本棚,ほんだな,hondana,bookshelf,Noun,,Common noun,School/Work/Language,Core open list,Noun-like word,118,15990,0.00034621,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,本棚,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,27,123,613,本当,ほんとう,hontou,"real, true",Adjective,,na-adjective,School/Work/Language,Core open list,Can take な before nouns / also noun-like,15547,262,0.04561465,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,本当,"adj-na,n",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: adj-na,n",School/language/work anchor
3,School + Language + Work Basics,28,162,665,問題,もんだい,mondai,a problem,Noun,,Common noun,School/Work/Language,Core open list,Noun-like word,11296,384,0.03314228,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,問題,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,29,760,678,郵便局,ゆうびんきょく,yuubinkyoku,post office,Noun,,Common noun,School/Work/Language,Core open list,Noun-like word,71,21737,0.00020831,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,郵便局,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,30,218,690,読む,よむ,yomu,to read,Verb,Godan (-mu ending),Main verb,School/Work/Language,Core open list,Transitive,7710,560,0.02262102,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,読む,"v5m,vt",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: v5m,vt",School/language/work anchor
3,School + Language + Work Basics,31,347,707,練習,れんしゅう (する),renshuu (suru),(to) practice,Noun,Can form する verb,Suru-verbal noun,School/Work/Language,Core open list,Can combine with する,3510,1112,0.01029828,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,練習,"n,vs",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,vs",School/language/work anchor
3,School + Language + Work Basics,32,789,736,問題用紙,もんだいようし,mondaiyoushi,question sheet,Noun,,Common noun,School/Work/Language,Supplemental N5 buffer,Noun-like word,7,61213,2.054e-05,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,問題用紙,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,33,384,737,問題例,もんだいれい,mondairei,sample question,Noun,,Compound noun,School/Work/Language,Supplemental N5 buffer,Study/test term,,,0.0079,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,問題例,Fallback: no subtitle-corpus match for selected candidates,4.9,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,34,673,744,例,れい,rei,example,Noun,,no-adjective noun / Prefix-like noun,School/Work/Language,Supplemental N5 buffer,Noun-like word,372,7103,0.00109144,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,例,"n,n-pref,adj-no",,,,MLC 802-word list / common N5 buffer,"Subtitle corpus POS tags: n,n-pref,adj-no",School/language/work anchor
3,School + Language + Work Basics,35,416,745,練習する,れんしゅうする,renshuusuru,to practice,Verb,Suru verb,Verbal noun + する,School/Work/Language,Supplemental N5 buffer,,,,0.00653,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,練習する,Fallback: no subtitle-corpus match for selected candidates,4.81,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,36,782,783,カタカナ,カタカナ,katakana,katakana,Noun,,Common noun,School/Work/Language,Supplemental N5 buffer,Noun-like word,16,45669,4.694e-05,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,カタカナ,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,37,344,792,勉強する,べんきょうする,benkyousuru,to study,Verb,Suru verb,Verbal noun + する,School/Work/Language,Supplemental N5 buffer,,,,0.0105,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,勉強する,Fallback: no subtitle-corpus match for selected candidates,5.02,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,38,290,794,質問する,しつもんする,shitsumonsuru,to ask a question,Verb,Suru verb,Verbal noun + する,School/Work/Language,Supplemental N5 buffer,,,,0.0138,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,質問する,Fallback: no subtitle-corpus match for selected candidates,5.14,,,MLC 802-word list / common N5 buffer,Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,39,712,798,会社員,かいしゃいん,kaishain,company employee,Noun,,Common noun,School/Work/Language,Supplemental N5 buffer,Noun-like word,215,10685,0.00063081,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,会社員,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,40,680,800,銀行員,ぎんこういん,ginkouin,bank employee,Noun,,Common noun,School/Work/Language,Supplemental N5 buffer,Noun-like word,335,7725,0.00098288,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,銀行員,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,41,87,47,家,いえ,ie,"house, home",Noun,,Common noun,Home/Objects,Core open list,Place/home noun,24323,174,0.07136329,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,家,suf,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override from vocabulary meaning,School/language/work anchor
3,School + Language + Work Basics,42,733,95,鉛筆,えんぴつ,empitsu,pencil,Noun,,Common noun,Home/Objects,Core open list,Noun-like word,158,13197,0.00046357,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,鉛筆,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,43,523,175,紙,かみ,kami,paper,Noun,,Common noun,Home/Objects,Core open list,Noun-like word,1256,2659,0.00368508,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,紙,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,44,400,176,カメラ,カメラ,kamera,camera,Noun,,Common noun,Home/Objects,Core open list,Noun-like word,2461,1526,0.00722053,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,カメラ,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,45,497,327,新聞,しんぶん,shimbun,newspaper,Noun,,no-adjective noun,Home/Objects,Core open list,Noun-like word,1456,2372,0.00427188,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,新聞,"n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,adj-no",School/language/work anchor
3,School + Language + Work Basics,46,350,429,手紙,てがみ,tegami,letter,Noun,,no-adjective noun,Home/Objects,Core open list,Noun-like word,3460,1126,0.01015158,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,手紙,"n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,adj-no",School/language/work anchor
3,School + Language + Work Basics,47,390,437,テレビ,テレビ,terebi,"television, TV",Noun,,Common noun,Home/Objects,Core open list,Noun-like word,2636,1442,0.00773398,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,テレビ,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,48,556,512,ノート,ノート,nooto,notebook,Noun,Can form する verb,Suru-verbal noun,Home/Objects,Core open list,Can combine with する,1011,3172,0.00296626,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,ノート,"n,vs",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,vs",School/language/work anchor
3,School + Language + Work Basics,49,89,610,本,ほん,hon,book,Noun,,Common noun,Home/Objects,Core open list,Noun-like word,23539,179,0.06906304,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,本,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,50,626,696,ラジオ,ラジオ,rajio,radio,Noun,,Common noun,Home/Objects,Core open list,Noun-like word,583,4978,0.00171051,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,ラジオ,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,51,802,697,ラジオカセ,ラジオカセ,rajiokase,radio cassette player,Noun,,Common noun,Home/Objects,Core open list,Loanword noun,,,0,No match found in subtitle corpus or wordfreq,unmatched,ラジオカセ,Unmatched,0,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,52,273,53,医者,いしゃ,isha,doctor; physician,Noun,,Common noun,People/Family,Core open list,Noun-like word,5046,792,0.01480488,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,医者,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,53,544,54,椅子,いす,isu,chair,Noun,,Common noun,People/Family,Core open list,Noun-like word,1103,2947,0.00323618,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,椅子,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,54,261,55,忙しい,いそがしい,isogashii,"busy (people, days)",Adjective,,i-adjective,People/Family,Core open list,Conjugates directly; dictionary form ends in い,5342,747,0.01567334,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,忙しい,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,School/language/work anchor
3,School + Language + Work Basics,55,513,101,大勢,おおぜい,oozei,great number of people,Noun,,Common noun,People/Family,Core open list,Noun-like word,1335,2543,0.00391687,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,大勢,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,56,554,103,お菓子,おかし,okashi,"confections, sweets, snack",Noun,,Common noun,People/Family,Core open list,Noun-like word,1017,3152,0.00298386,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お菓子,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,57,219,107,奥さん,おくさん,okusan,(someone else's) wife (hon.),Noun,,Common noun,People/Family,Core open list,Noun-like word,7619,562,0.02235402,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,奥さん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,58,489,110,おじさん,おじさん,ojisan,"uncle, middle-aged man",Noun,,Common noun,People/Family,Core open list,Noun-like word,1489,2329,0.0043687,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,おじさん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,59,746,111,おじいさん,おじいさん,ojiisan,"grandfather, male senior citizen",Noun,,People noun,People/Family,Core open list,Family/person term,,,0.000347,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,おじいさん,Fallback: no subtitle-corpus match for selected candidates,3.54,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,60,303,123,大人,おとな,otona,adult,Noun,,Common noun,People/Family,Core open list,Noun-like word,4478,894,0.01313838,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,大人,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,61,468,126,お兄さん,おにいさん,oniisan,(someone else's) older brother (formal),Noun,,Common noun,People/Family,Core open list,Noun-like word,1678,2114,0.00492322,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お兄さん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,62,446,127,お姉さん,おねえさん,oneesan,older sister (formal),Noun,,Common noun,People/Family,Core open list,Noun-like word,1924,1893,0.00564498,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お姉さん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,63,424,128,おばさん,おばさん,obasan,aunt,Noun,,Common noun,People/Family,Core open list,Noun-like word,2130,1729,0.00624939,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,おばさん,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,64,755,129,おばあさん,おばあさん,obaasan,"grandmother, female senior-citizen",Noun,,People noun,People/Family,Core open list,Family/person term,,,0.000269,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,おばあさん,Fallback: no subtitle-corpus match for selected candidates,3.43,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,65,765,133,おまわりさん,おまわりさん,omawarisan,policeman (friendly term),Noun,,People noun,People/Family,Core open list,Occupation/person term,,,0.000166,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,おまわりさん,Fallback: no subtitle-corpus match for selected candidates,3.22,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,66,624,145,外国人,がいこくじん,gaikokujin,foreigner,Noun,,Common noun,People/Family,Core open list,Noun-like word,590,4916,0.00173105,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,外国人,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,67,492,170,家庭,かてい,katei,home; family,Noun,,no-adjective noun,People/Family,Core open list,Noun-like word,1478,2340,0.00433643,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,家庭,"n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,adj-no",School/language/work anchor
3,School + Language + Work Basics,68,490,206,兄弟,きょうだい,kyoudai,"siblings (humble), brothers and sisters",Noun,,Common noun,People/Family,Core open list,Noun-like word,1485,2331,0.00435697,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,兄弟,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,69,134,258,こちら,こちら,kochira,this person (polite); this way (polite),Pronoun,,Polite demonstrative pronoun,People/Family,Core open list,This way / this person / here,14417,293,0.04229924,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,こちら,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual learner override for N5 demonstrative/location word,School/language/work anchor
3,School + Language + Work Basics,70,111,259,こっち,こっち,kocchi,this person; this direction; this side,Noun,,Common noun,People/Family,Core open list,Noun-like word,19037,222,0.05585425,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,こっち,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,71,212,346,生徒,せいと,seito,student; pupil,Noun,,no-adjective noun,People/Family,Core open list,Noun-like word,7927,541,0.02325769,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,生徒,"n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,adj-no",School/language/work anchor
3,School + Language + Work Basics,72,451,422,冷たい,つめたい,tsumetai,"cold (things, people)",Adjective,,i-adjective,People/Family,Core open list,Conjugates directly; dictionary form ends in い,1855,1953,0.00544254,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,冷たい,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,School/language/work anchor
3,School + Language + Work Basics,73,577,601,帽子,ぼうし,boushi,hat; cap,Noun,,Common noun,People/Family,Core open list,Noun-like word,873,3594,0.00256137,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,帽子,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,74,754,699,留学生,りゅうがくせい,ryuugakusei,international student,Noun,,Common noun,People/Family,Core open list,Noun-like word,95,18251,0.00027873,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,留学生,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,75,34,725,～先生,～せんせい,~sensei,Teacher ...; suffix after teacher name,Suffix,,Suffix / bound word,People/Family,Supplemental N5 buffer,Attaches to another word or number,61878,71,0.18154905,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,先生,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,76,602,782,妹さん,いもうとさん,imoutosan,someone else's younger sister,Noun,,Common noun,People/Family,Supplemental N5 buffer,Noun-like word,705,4252,0.00206846,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,妹さん,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,77,628,788,お医者さん,おいしゃさん,oishasan,doctor; physician (polite),Noun,,Common noun,People/Family,Supplemental N5 buffer,Noun-like word,581,4994,0.00170464,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,お医者さん,n,,,,MLC 802-word list / common N5 buffer,Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,78,135,112,教える,おしえる,oshieru,"to teach, to inform, to instruct",Verb,Ichidan,Main verb,Core Verbs/Actions,Core open list,Transitive,14301,297,0.0419589,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,教える,"v1,vt",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: v1,vt",School/language/work anchor
3,School + Language + Work Basics,79,117,389,頼む,たのむ,tanomu,"to request, to ask (a favor)",Verb,Godan (-mu ending),Main verb,Core Verbs/Actions,Core open list,,17648,238,0.05177895,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,頼む,v5m,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: v5m,School/language/work anchor
3,School + Language + Work Basics,80,160,59,一番,いちばん,ichiban,"best (most), first, number one",Noun,,Adverbial noun,Numbers/Counters,Core open list,Noun-like word,11960,364,0.03509045,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,一番,n-adv,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n-adv,School/language/work anchor
3,School + Language + Work Basics,81,250,62,一緒,いっしょ,issho,together,Noun,,Adverbial noun / no-adjective noun,Numbers/Counters,Core open list,Noun-like word,5725,710,0.01679706,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,一緒,"n-adv,n,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n-adv,n,adj-no",School/language/work anchor
3,School + Language + Work Basics,82,767,63,五つ,いつつ,itsutsu,five things,Noun,,Numeral,Numbers/Counters,Core open list,Number/quantity word,53,25719,0.0001555,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,五つ,num,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: num,School/language/work anchor
3,School + Language + Work Basics,83,647,282,～冊,～さつ,~satsu,counter for books,Counter,,Counter / counting suffix,Numbers/Counters,Core open list,Counter or measure word,489,5760,0.00143472,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,冊,ctr,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: ctr,School/language/work anchor
3,School + Language + Work Basics,84,419,670,安い,やすい,yasui,inexpensive; cheap (things),Adjective,,i-adjective,Numbers/Counters,Core open list,Conjugates directly; dictionary form ends in い,2206,1676,0.00647237,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,安い,adj-i,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adj-i,School/language/work anchor
3,School + Language + Work Basics,85,364,26,あっち,あっち,acchi,over there,Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun / can modify nouns with の,3146,1226,0.00923031,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,あっち,"pn,adj-no",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: pn,adj-no",School/language/work anchor
3,School + Language + Work Basics,86,338,48,いかが,いかが,ikaga,"how, in what way",Adverb,,Adverb,Misc/Bridge,Core open list,Modifies verbs/adjectives/sentences,3650,1085,0.01070904,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,いかが,adv,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: adv,School/language/work anchor
3,School + Language + Work Basics,87,373,52,池,いけ,ike,pond,Noun,,Common noun,Misc/Bridge,Core open list,Noun-like word,2898,1319,0.00850269,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,池,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,88,237,60,いつ,いつ,itsu,when,Pronoun,,Pronoun,Misc/Bridge,Core open list,Pronoun,6424,647,0.01884791,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,いつ,"n-adv,pn",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n-adv,pn",School/language/work anchor
3,School + Language + Work Basics,89,21,69,嫌,いや,iya,"disagreeable, detestable, unpleasant",Adjective,,na-adjective,Misc/Bridge,Core open list,Can take な before nouns / also noun-like,84734,46,0.24860818,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,嫌,"adj-na,n",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: adj-na,n",School/language/work anchor
3,School + Language + Work Basics,90,479,205,教室,きょうしつ,kyoushitsu,classroom,Noun,,Common noun,Misc/Bridge,Core open list,Noun-like word,1546,2260,0.00453594,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,教室,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,91,533,266,コピーする,コピーする,kopiisuru,to copy,Verb,Suru verb,Verbal noun + する,Misc/Bridge,Core open list,,,,0.00345,wordfreq 3.1.1 Japanese best wordlist,wordfreq fallback: Japanese form,コピーする,Fallback: no subtitle-corpus match for selected candidates,4.54,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Manual fallback from word/meaning,School/language/work anchor
3,School + Language + Work Basics,92,735,280,作文,さくぶん,sakubun,essay; composition,Noun,Can form する verb,Suru-verbal noun,Misc/Bridge,Core open list,Can combine with する,153,13493,0.0004489,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,作文,"n,vs",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,vs",School/language/work anchor
3,School + Language + Work Basics,93,615,318,宿題,しゅくだい,shukudai,homework,Noun,,Common noun,Misc/Bridge,Core open list,Noun-like word,649,4540,0.00190416,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,宿題,n,,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),Subtitle corpus POS tags: n,School/language/work anchor
3,School + Language + Work Basics,94,530,432,テスト,テスト,tesuto,test,Noun,Can form する verb,Suru-verbal noun,Misc/Bridge,Core open list,Can combine with する,1188,2780,0.00348557,chriskempson Japanese subtitles word_freq_report.txt,subtitle match: Japanese form,テスト,"n,vs",,,,GitHub elzup/jlpt-word-list n5.csv (based on Tanos/Genki),"Subtitle corpus POS tags: n,vs",School/language/work anchor
